panel,method,m,kappa,n,seed,iter_outer,nfev,ngev,nhev,ntot,converged,gnorm_final,cpu_s
A,LBFGS-5,5,100.0,100,0,87,304,338,0,642,True,9.619e-07,0.012324
A,LBFGS-10,10,100.0,100,0,96,333,369,0,702,True,9.622e-07,0.016326
A,LBFGS-20,20,100.0,100,0,88,280,286,0,566,True,9.857e-07,0.020626
A,LBFGS-5,5,100.0,100,1,94,291,294,0,585,True,9.431e-07,0.014609
A,LBFGS-10,10,100.0,100,1,90,279,286,0,565,True,9.345e-07,0.016085
A,LBFGS-20,20,100.0,100,1,83,269,275,0,544,True,9.511e-07,0.015869
A,LBFGS-5,5,100.0,100,2,92,323,356,0,679,True,9.817e-07,0.008892
A,LBFGS-10,10,100.0,100,2,89,366,467,0,833,True,8.55e-07,0.017634
A,LBFGS-20,20,100.0,100,2,91,368,465,0,833,True,7.786e-07,0.023499
A,LBFGS-5,5,100.0,100,3,96,336,371,0,707,True,9.472e-07,0.010674
A,LBFGS-10,10,100.0,100,3,87,308,342,0,650,True,9.129e-07,0.011478
A,LBFGS-20,20,100.0,100,3,86,300,335,0,635,True,9.488e-07,0.016676
A,LBFGS-5,5,100.0,100,4,92,279,284,0,563,True,9.637e-07,0.007813
A,LBFGS-10,10,100.0,100,4,87,340,403,0,743,True,9.809e-07,0.012247
A,LBFGS-20,20,100.0,100,4,90,325,360,0,685,True,9.302e-07,0.017313
A,LBFGS-5,5,100.0,100,5,94,302,307,0,609,True,9.705e-07,0.009671
A,LBFGS-10,10,100.0,100,5,89,307,341,0,648,True,9.946e-07,0.012545
A,LBFGS-20,20,100.0,100,5,89,270,275,0,545,True,9.796e-07,0.019745
A,LBFGS-5,5,100.0,100,6,92,346,411,0,757,True,9.858e-07,0.014312
A,LBFGS-10,10,100.0,100,6,93,281,284,0,565,True,9.75e-07,0.016405
A,LBFGS-20,20,100.0,100,6,84,327,391,0,718,True,9.359e-07,0.017154
A,LBFGS-5,5,100.0,100,7,87,299,331,0,630,True,9.17e-07,0.008613
A,LBFGS-10,10,100.0,100,7,94,284,288,0,572,True,9.729e-07,0.013673
A,LBFGS-20,20,100.0,100,7,83,268,271,0,539,True,9.345e-07,0.018314
A,LBFGS-5,5,100.0,100,8,95,304,307,0,611,True,9.356e-07,0.009631
A,LBFGS-10,10,100.0,100,8,91,282,286,0,568,True,9.4e-07,0.010863
A,LBFGS-20,20,100.0,100,8,86,271,274,0,545,True,9.913e-07,0.018158
A,LBFGS-5,5,100.0,100,9,99,330,362,0,692,True,9.686e-07,0.011492
A,LBFGS-10,10,100.0,100,9,93,377,477,0,854,True,8.258e-07,0.016766
A,LBFGS-20,20,100.0,100,9,89,282,284,0,566,True,9.804e-07,0.019992
A,LBFGS-5,5,100.0,100,10,92,291,294,0,585,True,9.271e-07,0.010194
A,LBFGS-10,10,100.0,100,10,115,380,416,0,796,True,9.731e-07,0.018473
A,LBFGS-20,20,100.0,100,10,101,338,375,0,713,True,7.605e-07,0.027104
A,LBFGS-5,5,100.0,100,11,96,328,361,0,689,True,9.334e-07,0.01252
A,LBFGS-10,10,100.0,100,11,85,323,389,0,712,True,9.197e-07,0.018124
A,LBFGS-20,20,100.0,100,11,81,253,257,0,510,True,9.55e-07,0.016003
A,LBFGS-5,5,100.0,100,12,99,363,431,0,794,True,9.28e-07,0.010259
A,LBFGS-10,10,100.0,100,12,89,304,343,0,647,True,8.049e-07,0.012039
A,LBFGS-20,20,100.0,100,12,83,286,322,0,608,True,9.678e-07,0.02364
A,LBFGS-5,5,100.0,100,13,88,270,273,0,543,True,9.629e-07,0.009959
A,LBFGS-10,10,100.0,100,13,85,272,275,0,547,True,9.771e-07,0.014362
A,LBFGS-20,20,100.0,100,13,84,270,272,0,542,True,9.735e-07,0.022873
A,LBFGS-5,5,100.0,100,14,105,321,325,0,646,True,9.925e-07,0.012034
A,LBFGS-10,10,100.0,100,14,87,336,400,0,736,True,9.333e-07,0.015078
A,LBFGS-20,20,100.0,100,14,87,305,339,0,644,True,9.528e-07,0.020883
A,LBFGS-5,5,100.0,100,15,87,267,269,0,536,True,9.928e-07,0.007317
A,LBFGS-10,10,100.0,100,15,84,292,325,0,617,True,9.247e-07,0.011404
A,LBFGS-20,20,100.0,100,15,80,246,248,0,494,True,9.251e-07,0.014203
A,LBFGS-5,5,100.0,100,16,87,294,327,0,621,True,9.18e-07,0.008046
A,LBFGS-10,10,100.0,100,16,91,330,366,0,696,True,9.949e-07,0.012166
A,LBFGS-20,20,100.0,100,16,93,323,359,0,682,True,9.352e-07,0.017821
A,LBFGS-5,5,100.0,100,17,93,335,367,0,702,True,9.93e-07,0.009487
A,LBFGS-10,10,100.0,100,17,88,309,343,0,652,True,8.878e-07,0.012017
A,LBFGS-20,20,100.0,100,17,85,319,385,0,704,True,9.856e-07,0.017844
A,LBFGS-5,5,100.0,100,18,100,366,434,0,800,True,6.698e-07,0.012048
A,LBFGS-10,10,100.0,100,18,95,293,297,0,590,True,9.299e-07,0.01567
A,LBFGS-20,20,100.0,100,18,86,274,279,0,553,True,9.937e-07,0.015866
A,LBFGS-5,5,100.0,100,19,94,302,306,0,608,True,9.159e-07,0.008233
A,LBFGS-10,10,100.0,100,19,90,275,280,0,555,True,9.574e-07,0.010937
A,LBFGS-20,20,100.0,100,19,82,260,265,0,525,True,8.955e-07,0.014724
A,LBFGS-5,5,1000.0,100,0,611,1877,1916,0,3793,True,9.945e-07,0.061183
A,LBFGS-10,10,1000.0,100,0,398,1406,1475,0,2881,True,9.838e-07,0.075001
A,LBFGS-20,20,1000.0,100,0,537,3709,3425,0,7134,True,9.997e-07,0.152052
A,LBFGS-5,5,1000.0,100,1,508,1623,1636,0,3259,True,9.83e-07,0.047868
A,LBFGS-10,10,1000.0,100,1,518,1590,1598,0,3188,True,9.941e-07,0.069747
A,LBFGS-20,20,1000.0,100,1,323,1091,1102,0,2193,True,9.887e-07,0.076369
A,LBFGS-5,5,1000.0,100,2,535,1771,1813,0,3584,True,9.802e-07,0.053114
A,LBFGS-10,10,1000.0,100,2,436,1422,1429,0,2851,True,9.859e-07,0.064564
A,LBFGS-20,20,1000.0,100,2,533,3722,3470,0,7192,True,9.997e-07,0.140857
A,LBFGS-5,5,1000.0,100,3,624,1947,2015,0,3962,True,9.981e-07,0.062874
A,LBFGS-10,10,1000.0,100,3,541,1747,1787,0,3534,True,9.884e-07,0.079776
A,LBFGS-20,20,1000.0,100,3,649,5038,4642,0,9680,True,9.998e-07,0.183
A,LBFGS-5,5,1000.0,100,4,748,5000,4645,0,9645,True,9.989e-07,0.118931
A,LBFGS-10,10,1000.0,100,4,667,2485,2971,0,5456,True,9.989e-07,0.101007
A,LBFGS-20,20,1000.0,100,4,458,1403,1412,0,2815,True,9.998e-07,0.101392
A,LBFGS-5,5,1000.0,100,5,899,7103,6493,0,13596,True,9.998e-07,0.147418
A,LBFGS-10,10,1000.0,100,5,437,1459,1498,0,2957,True,9.88e-07,0.066901
A,LBFGS-20,20,1000.0,100,5,611,4598,4219,0,8817,True,9.977e-07,0.172526
A,LBFGS-5,5,1000.0,100,6,415,1553,1591,0,3144,True,9.881e-07,0.044515
A,LBFGS-10,10,1000.0,100,6,617,4254,3937,0,8191,True,9.983e-07,0.127936
A,LBFGS-20,20,1000.0,100,6,403,1374,1383,0,2757,True,9.902e-07,0.08496
A,LBFGS-5,5,1000.0,100,7,399,1430,1440,0,2870,True,9.844e-07,0.042478
A,LBFGS-10,10,1000.0,100,7,562,1811,1819,0,3630,True,9.896e-07,0.100498
A,LBFGS-20,20,1000.0,100,7,518,3285,3098,0,6383,True,9.996e-07,0.147627
A,LBFGS-5,5,1000.0,100,8,703,4978,4667,0,9645,True,9.998e-07,0.099454
A,LBFGS-10,10,1000.0,100,8,813,6601,6087,0,12688,True,9.989e-07,0.178202
A,LBFGS-20,20,1000.0,100,8,441,2605,2480,0,5085,True,9.996e-07,0.114321
A,LBFGS-5,5,1000.0,100,9,494,1769,2058,0,3827,True,9.909e-07,0.051488
A,LBFGS-10,10,1000.0,100,9,575,3801,3604,0,7405,True,9.976e-07,0.111439
A,LBFGS-20,20,1000.0,100,9,441,1570,1635,0,3205,True,9.889e-07,0.101922
A,LBFGS-5,5,1000.0,100,10,424,1604,1639,0,3243,True,9.758e-07,0.045606
A,LBFGS-10,10,1000.0,100,10,503,1695,1738,0,3433,True,9.864e-07,0.078894
A,LBFGS-20,20,1000.0,100,10,490,3160,2935,0,6095,True,9.983e-07,0.126136
A,LBFGS-5,5,1000.0,100,11,580,1934,2032,0,3966,True,9.918e-07,0.061258
A,LBFGS-10,10,1000.0,100,11,784,5794,5372,0,11166,True,9.999e-07,0.155506
A,LBFGS-20,20,1000.0,100,11,377,1304,1315,0,2619,True,9.987e-07,0.08707
A,LBFGS-5,5,1000.0,100,12,537,1731,1739,0,3470,True,9.923e-07,0.061485
A,LBFGS-10,10,1000.0,100,12,812,6306,5775,0,12081,True,9.988e-07,0.177357
A,LBFGS-20,20,1000.0,100,12,324,1119,1158,0,2277,True,9.943e-07,0.072993
A,LBFGS-5,5,1000.0,100,13,521,1747,1755,0,3502,True,9.873e-07,0.048916
A,LBFGS-10,10,1000.0,100,13,382,1315,1321,0,2636,True,9.882e-07,0.053978
A,LBFGS-20,20,1000.0,100,13,772,6132,5641,0,11773,True,9.999e-07,0.232576
A,LBFGS-5,5,1000.0,100,14,451,1864,1913,0,3777,True,9.984e-07,0.054758
A,LBFGS-10,10,1000.0,100,14,399,1374,1413,0,2787,True,9.844e-07,0.062827
A,LBFGS-20,20,1000.0,100,14,592,4189,4008,0,8197,True,9.999e-07,0.163256
A,LBFGS-5,5,1000.0,100,15,429,1573,1639,0,3212,True,9.876e-07,0.045318
A,LBFGS-10,10,1000.0,100,15,596,1831,1840,0,3671,True,9.918e-07,0.090019
A,LBFGS-20,20,1000.0,100,15,535,1767,1839,0,3606,True,9.869e-07,0.121853
