n,method,cpu_s,n_iter,nnz_A,nnz_factor,fill_ratio,rel_error
500,Steihaug-CG,0.0005837999924551696,25,2494,2494,1.0,7.47460332706315e-11
500,Newton-LM (dense),0.6650786000245716,1,2494,125250,50.2205292702486,2.1477121944321592e-16
500,Newton-LM (sparse LU),0.0015752000035718083,1,2494,3000,1.202886928628709,1.9674071099996084e-16
1000,Steihaug-CG,0.00419300000066869,25,4994,4994,1.0,1.0466506380812454e-10
1000,Newton-LM (dense),0.4793550000176765,1,4994,500500,100.22026431718062,2.1240338651075873e-16
1000,Newton-LM (sparse LU),0.001327100006164983,1,4994,6000,1.2014417300760913,1.8414773095840919e-16
2000,Steihaug-CG,0.004183200013358146,26,9994,9994,1.0,7.048286324123455e-11
2000,Newton-LM (dense),0.9930109000124503,1,9994,2001000,200.22013207924755,2.1125045760287256e-16
2000,Newton-LM (sparse LU),0.00159269999130629,1,9994,12000,1.2007204322593557,1.9726092722898578e-16
5000,Steihaug-CG,0.00236169999698177,26,24994,24994,1.0,6.129950459033371e-11
5000,Newton-LM (dense),7.073733800003538,1,24994,12502500,500.220052812675,2.1652363918776717e-16
5000,Newton-LM (sparse LU),0.0031063999922480434,1,24994,30000,1.2002880691365927,1.8539711562673904e-16
