category,pair_id,method_A,method_B,n_instances,median_A,median_B,median_diff,statistic,p_value,p_holm,significant,annotation,direction
A,P1,Steihaug_CG,Cauchy_Point,59,91.0,4002.0,-3899.0,0.0,0.0,0.0,True,★★,A<B
A,P2,Steihaug_CG,Dogleg,59,91.0,27.0,44.0,146.0,0.0,0.0,True,★★,A>B
A,P3,Steihaug_CG,BFGS_Armijo,59,91.0,1788.0,-1383.0,110.0,0.0,0.0,True,★★,A<B
A,P4,Steihaug_CG,BFGS_Wolfe,59,91.0,993.0,-762.0,86.0,0.0,0.0,True,★★,A<B
A,P5,Steihaug_CG,Newton_BT,59,91.0,10.0,42.0,445.0,0.000894,0.001788,True,★★,A>B
A,P6,Dogleg,Cauchy_Point,59,27.0,4002.0,-3967.0,0.0,0.0,0.0,True,★★,A<B
A,P7,BFGS_Wolfe,BFGS_Armijo,59,993.0,1788.0,-226.0,591.0,0.026479,0.026479,True,★,A<B
A,P8,BFGS_Wolfe,Newton_BT,59,993.0,10.0,623.0,343.0,4.3e-05,0.000129,True,★★,A>B
B,P1,Steihaug_CG,Cauchy_Point,55,51.0,315.0,-80.0,0.0,1e-06,8e-06,True,★★,A<B
B,P2,Steihaug_CG,Dogleg,55,51.0,39.0,0.0,202.0,0.529754,0.713264,False,ns,=
B,P3,Steihaug_CG,BFGS_Armijo,55,51.0,165.0,-82.0,332.5,0.000247,0.000988,True,★★,A<B
B,P4,Steihaug_CG,BFGS_Wolfe,55,51.0,208.0,-125.0,319.5,0.00016,0.0008,True,★★,A<B
B,P5,Steihaug_CG,Newton_BT,55,51.0,28.0,13.0,660.0,0.356632,0.713264,False,ns,A>B
B,P6,Dogleg,Cauchy_Point,55,39.0,315.0,0.0,0.0,6e-06,4.2e-05,True,★★,=
B,P7,BFGS_Wolfe,BFGS_Armijo,55,208.0,165.0,4.0,414.5,0.00469,0.01407,True,★,A>B
B,P8,BFGS_Wolfe,Newton_BT,55,208.0,28.0,11.0,289.0,5.5e-05,0.00033,True,★★,A>B
C,P1,Steihaug_CG,Cauchy_Point,42,2128.5,4002.0,0.0,0.0,0.005934,0.041538,True,★,=
C,P2,Steihaug_CG,Dogleg,42,2128.5,2128.5,0.0,18.5,0.624747,1.0,False,ns,=
C,P3,Steihaug_CG,BFGS_Armijo,42,2128.5,5002.0,-1000.0,39.0,0.0,0.0,True,★★,A<B
C,P4,Steihaug_CG,BFGS_Wolfe,42,2128.5,145.5,-114.0,324.0,0.108932,0.485586,False,ns,A<B
C,P5,Steihaug_CG,Newton_BT,42,2128.5,145.5,-8.0,414.0,0.830374,1.0,False,ns,A<B
C,P6,Dogleg,Cauchy_Point,42,2128.5,4002.0,0.0,10.5,0.080931,0.485586,False,ns,=
C,P7,BFGS_Wolfe,BFGS_Armijo,42,145.5,5002.0,-11.0,370.0,0.306448,0.919344,False,ns,A<B
C,P8,BFGS_Wolfe,Newton_BT,42,145.5,145.5,109.0,319.0,0.097029,0.485586,False,ns,A>B
